Date,value,value_lag_1,value_lag_2,value_lag_3,value_lag_4,value_lag_5,value_lag_6,value_lag_7
05-11-22,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0
06-11-22,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0
07-11-22,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0
08-11-22,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0
09-11-22,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0
10-11-22,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0
11-11-22,3.14,3.0,3.0,3.0,3.0,3.0,3.0,3.0
12-11-22,3.14,3.14,3.0,3.0,3.0,3.0,3.0,3.0
13-11-22,3.14,3.14,3.14,3.0,3.0,3.0,3.0,3.0
14-11-22,3.14,3.14,3.14,3.14,3.0,3.0,3.0,3.0
15-11-22,3.14,3.14,3.14,3.14,3.14,3.0,3.0,3.0
16-11-22,3.14,3.14,3.14,3.14,3.14,3.14,3.0,3.0
17-11-22,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.0
18-11-22,3.57,3.14,3.14,3.14,3.14,3.14,3.14,3.14
19-11-22,3.57,3.57,3.14,3.14,3.14,3.14,3.14,3.14
20-11-22,3.57,3.57,3.57,3.14,3.14,3.14,3.14,3.14
21-11-22,3.57,3.57,3.57,3.57,3.14,3.14,3.14,3.14
22-11-22,3.57,3.57,3.57,3.57,3.57,3.14,3.14,3.14
23-11-22,3.57,3.57,3.57,3.57,3.57,3.57,3.14,3.14
24-11-22,3.57,3.57,3.57,3.57,3.57,3.57,3.57,3.14
25-11-22,5.0,3.57,3.57,3.57,3.57,3.57,3.57,3.57
26-11-22,5.0,5.0,3.57,3.57,3.57,3.57,3.57,3.57
27-11-22,5.0,5.0,5.0,3.57,3.57,3.57,3.57,3.57
28-11-22,5.0,5.0,5.0,5.0,3.57,3.57,3.57,3.57
29-11-22,5.0,5.0,5.0,5.0,5.0,3.57,3.57,3.57
30-11-22,5.0,5.0,5.0,5.0,5.0,5.0,3.57,3.57
01-12-22,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.57
02-12-22,6.14,5.0,5.0,5.0,5.0,5.0,5.0,5.0
03-12-22,6.14,6.14,5.0,5.0,5.0,5.0,5.0,5.0
04-12-22,6.14,6.14,6.14,5.0,5.0,5.0,5.0,5.0
05-12-22,6.14,6.14,6.14,6.14,5.0,5.0,5.0,5.0
06-12-22,6.14,6.14,6.14,6.14,6.14,5.0,5.0,5.0
07-12-22,6.14,6.14,6.14,6.14,6.14,6.14,5.0,5.0
08-12-22,6.14,6.14,6.14,6.14,6.14,6.14,6.14,5.0
09-12-22,4.86,6.14,6.14,6.14,6.14,6.14,6.14,6.14
10-12-22,4.86,4.86,6.14,6.14,6.14,6.14,6.14,6.14
11-12-22,4.86,4.86,4.86,6.14,6.14,6.14,6.14,6.14
12-12-22,5.0,4.86,4.86,4.86,6.14,6.14,6.14,6.14
13-12-22,5.0,5.0,4.86,4.86,4.86,6.14,6.14,6.14
14-12-22,5.0,5.0,5.0,4.86,4.86,4.86,6.14,6.14
15-12-22,5.0,5.0,5.0,5.0,4.86,4.86,4.86,6.14
16-12-22,1.86,5.0,5.0,5.0,5.0,4.86,4.86,4.86
17-12-22,1.86,1.86,5.0,5.0,5.0,5.0,4.86,4.86
18-12-22,1.86,1.86,1.86,5.0,5.0,5.0,5.0,4.86
19-12-22,1.71,1.86,1.86,1.86,5.0,5.0,5.0,5.0
20-12-22,1.71,1.71,1.86,1.86,1.86,5.0,5.0,5.0
21-12-22,1.71,1.71,1.71,1.86,1.86,1.86,5.0,5.0
22-12-22,1.71,1.71,1.71,1.71,1.86,1.86,1.86,5.0
23-12-22,1.43,1.71,1.71,1.71,1.71,1.86,1.86,1.86
24-12-22,1.43,1.43,1.71,1.71,1.71,1.71,1.86,1.86
25-12-22,1.43,1.43,1.43,1.71,1.71,1.71,1.71,1.86
26-12-22,1.43,1.43,1.43,1.43,1.71,1.71,1.71,1.71
27-12-22,1.43,1.43,1.43,1.43,1.43,1.71,1.71,1.71
28-12-22,1.43,1.43,1.43,1.43,1.43,1.43,1.71,1.71
29-12-22,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.71
30-12-22,1.14,1.43,1.43,1.43,1.43,1.43,1.43,1.43
31-12-22,1.14,1.14,1.43,1.43,1.43,1.43,1.43,1.43
01-01-23,1.14,1.14,1.14,1.43,1.43,1.43,1.43,1.43
02-01-23,1.14,1.14,1.14,1.14,1.43,1.43,1.43,1.43
03-01-23,1.14,1.14,1.14,1.14,1.14,1.43,1.43,1.43
04-01-23,1.14,1.14,1.14,1.14,1.14,1.14,1.43,1.43
05-01-23,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.43
06-01-23,6.0,1.14,1.14,1.14,1.14,1.14,1.14,1.14
07-01-23,6.0,6.0,1.14,1.14,1.14,1.14,1.14,1.14
08-01-23,6.0,6.0,6.0,1.14,1.14,1.14,1.14,1.14
09-01-23,6.0,6.0,6.0,6.0,1.14,1.14,1.14,1.14
10-01-23,6.29,6.0,6.0,6.0,6.0,1.14,1.14,1.14
11-01-23,6.29,6.29,6.0,6.0,6.0,6.0,1.14,1.14
12-01-23,6.29,6.29,6.29,6.0,6.0,6.0,6.0,1.14
13-01-23,4.14,6.29,6.29,6.29,6.0,6.0,6.0,6.0
14-01-23,4.14,4.14,6.29,6.29,6.29,6.0,6.0,6.0
15-01-23,4.14,4.14,4.14,6.29,6.29,6.29,6.0,6.0
16-01-23,4.14,4.14,4.14,4.14,6.29,6.29,6.29,6.0
17-01-23,3.86,4.14,4.14,4.14,4.14,6.29,6.29,6.29
18-01-23,3.86,3.86,4.14,4.14,4.14,4.14,6.29,6.29
19-01-23,3.86,3.86,3.86,4.14,4.14,4.14,4.14,6.29
20-01-23,5.0,3.86,3.86,3.86,4.14,4.14,4.14,4.14
21-01-23,5.0,5.0,3.86,3.86,3.86,4.14,4.14,4.14
22-01-23,5.0,5.0,5.0,3.86,3.86,3.86,4.14,4.14
23-01-23,5.0,5.0,5.0,5.0,3.86,3.86,3.86,4.14
24-01-23,5.0,5.0,5.0,5.0,5.0,3.86,3.86,3.86
25-01-23,5.0,5.0,5.0,5.0,5.0,5.0,3.86,3.86
26-01-23,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.86
27-01-23,3.86,5.0,5.0,5.0,5.0,5.0,5.0,5.0
28-01-23,3.86,3.86,5.0,5.0,5.0,5.0,5.0,5.0
29-01-23,3.86,3.86,3.86,5.0,5.0,5.0,5.0,5.0
30-01-23,3.86,3.86,3.86,3.86,5.0,5.0,5.0,5.0
31-01-23,4.0,3.86,3.86,3.86,3.86,5.0,5.0,5.0
01-02-23,4.0,4.0,3.86,3.86,3.86,3.86,5.0,5.0
02-02-23,4.0,4.0,4.0,3.86,3.86,3.86,3.86,5.0
03-02-23,2.57,4.0,4.0,4.0,3.86,3.86,3.86,3.86
04-02-23,2.57,2.57,4.0,4.0,4.0,3.86,3.86,3.86
05-02-23,2.57,2.57,2.57,4.0,4.0,4.0,3.86,3.86
06-02-23,2.57,2.57,2.57,2.57,4.0,4.0,4.0,3.86
07-02-23,2.43,2.57,2.57,2.57,2.57,4.0,4.0,4.0
08-02-23,2.43,2.43,2.57,2.57,2.57,2.57,4.0,4.0
09-02-23,2.43,2.43,2.43,2.57,2.57,2.57,2.57,4.0
10-02-23,0.86,2.43,2.43,2.43,2.57,2.57,2.57,2.57
11-02-23,0.86,0.86,2.43,2.43,2.43,2.57,2.57,2.57
12-02-23,0.86,0.86,0.86,2.43,2.43,2.43,2.57,2.57
13-02-23,0.86,0.86,0.86,0.86,2.43,2.43,2.43,2.57
14-02-23,0.86,0.86,0.86,0.86,0.86,2.43,2.43,2.43
15-02-23,0.86,0.86,0.86,0.86,0.86,0.86,2.43,2.43
16-02-23,0.86,0.86,0.86,0.86,0.86,0.86,0.86,2.43
17-02-23,5.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86
18-02-23,5.86,5.86,0.86,0.86,0.86,0.86,0.86,0.86
19-02-23,5.86,5.86,5.86,0.86,0.86,0.86,0.86,0.86
20-02-23,5.86,5.86,5.86,5.86,0.86,0.86,0.86,0.86
21-02-23,5.86,5.86,5.86,5.86,5.86,0.86,0.86,0.86
22-02-23,5.86,5.86,5.86,5.86,5.86,5.86,0.86,0.86
23-02-23,5.86,5.86,5.86,5.86,5.86,5.86,5.86,0.86
24-02-23,0.71,5.86,5.86,5.86,5.86,5.86,5.86,5.86
25-02-23,0.71,0.71,5.86,5.86,5.86,5.86,5.86,5.86
26-02-23,0.71,0.71,0.71,5.86,5.86,5.86,5.86,5.86
27-02-23,0.71,0.71,0.71,0.71,5.86,5.86,5.86,5.86
